"","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeID","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","nhrs","nleaves","novertime","consecutive_holidays"
"3549",40,"No","Travel_Frequently","Sales",9,3,"Medical",3549,"Male",1,"Manufacturing Director","Married",45230,5,16,1,5,5,0,0,0,2,2,3,4,3,6.80959692671395,26,0,3
"3550",50,"No","Travel_Frequently","Research & Development",25,4,"Life Sciences",3550,"Female",2,"Healthcare Representative","Married",32020,2,24,1,32,2,2,2,2,4,1,3,3,4,7.17257597340931,27,1,4
"3551",28,"No","Travel_Rarely","Research & Development",6,3,"Technical Degree",3551,"Male",2,"Research Scientist","Married",23510,1,16,0,6,4,6,3,3,4,1,3,3,3,7.15125413711584,26,0,3
"3552",46,"No","Travel_Rarely","Research & Development",8,4,"Other",3552,"Male",3,"Manager","Married",17020,5,21,0,25,2,4,0,3,4,2,3,3,4,7.30777199074074,21,1,3
"3553",35,"No","Travel_Rarely","Sales",4,4,"Marketing",3553,"Male",1,"Laboratory Technician","Married",180410,3,20,1,15,3,7,1,7,3,1,3,2,4,8.48795238095238,16,233,3
"3554",24,"Yes","Travel_Rarely","Human Resources",28,4,"Human Resources",3554,"Male",3,"Manufacturing Director","Married",28860,1,19,1,1,5,1,0,0,4,2,1,3,3,6.5985393126177,25,0,3
"3555",33,"No","Travel_Frequently","Research & Development",9,2,"Medical",3555,"Female",1,"Sales Executive","Married",20970,1,14,2,10,5,10,0,1,2,3,2,2,3,6.01818771414586,34,0,5
"3556",36,"No","Travel_Rarely","Research & Development",9,2,"Medical",3556,"Male",2,"Sales Executive","Divorced",119350,1,11,3,7,6,7,1,7,3,3,3,4,3,6.61199813258637,23,0,3
"3557",30,"No","Travel_Rarely","Sales",29,3,"Marketing",3557,"Male",1,"Sales Executive","Divorced",25460,1,14,1,10,2,10,8,9,3,3,2,3,3,6.01564775413712,26,0,4
"3558",44,"No","Travel_Rarely","Research & Development",3,4,"Medical",3558,"Male",2,"Research Scientist","Single",25640,1,12,3,20,3,20,13,17,4,4,3,1,3,7.60671768707483,16,23,3
"3559",20,"No","Travel_Rarely","Research & Development",18,4,"Medical",3559,"Male",1,"Human Resources","Single",84120,1,13,0,2,2,2,2,2,3,4,3,2,3,6.301012857836,32,0,3
"3560",46,"No","Travel_Rarely","Sales",9,1,"Medical",3560,"Female",1,"Sales Executive","Divorced",141180,2,22,0,12,3,6,1,4,4,4,2,3,4,6.22499062353493,24,0,3
"3561",42,"No","Non-Travel","Research & Development",5,4,"Medical",3561,"Male",5,"Sales Executive","Married",170460,7,11,0,10,3,4,0,3,4,1,4,2,3,7.48652663934426,17,8,3
"3562",60,"No","Travel_Rarely","Sales",2,2,"Life Sciences",3562,"Male",2,"Sales Executive","Divorced",25640,0,14,1,12,3,11,1,9,2,4,3,3,3,8.60212585034014,16,240,3
"3563",32,"No","Travel_Frequently","Sales",10,3,"Life Sciences",3563,"Female",1,"Sales Executive","Married",102660,1,11,0,2,3,2,2,2,3,2,3,3,3,7.28992226794696,18,0,3
"3564",32,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",3564,"Female",2,"Research Scientist","Single",50700,4,12,1,10,6,8,0,7,4,3,3,3,3,8.40896686159844,33,204,3
"3565",36,"No","Travel_Rarely","Sales",3,2,"Marketing",3565,"Male",4,"Healthcare Representative","Divorced",178610,2,18,0,17,2,7,7,7,3,1,3,2,3,7.98974546722455,22,117,3
"3566",33,"No","Travel_Rarely","Sales",26,2,"Marketing",3566,"Male",1,"Research Scientist","Married",42300,0,12,0,15,0,14,4,10,1,4,3,3,3,6.12585404483431,33,0,3
"3567",40,"No","Travel_Rarely","Research & Development",1,3,"Medical",3567,"Female",2,"Research Scientist","Divorced",37800,7,12,0,7,2,5,1,3,2,2,4,1,3,7.32233574879227,31,3,3
"3568",25,"No","Travel_Rarely","Research & Development",6,2,"Medical",3568,"Female",1,"Laboratory Technician","Single",27680,0,22,1,5,0,4,1,1,3,4,3,3,4,8.01526748971193,18,126,3
"3569",30,"No","Travel_Rarely","Sales",9,3,"Marketing",3569,"Female",1,"Research Scientist","Married",90710,0,19,1,12,2,11,5,7,4,2,3,2,3,9.18669976359338,26,235,3
"3570",42,"No","Travel_Frequently","Human Resources",8,2,"Medical",3570,"Male",1,"Sales Executive","Married",106480,3,13,1,20,1,1,0,0,1,1,3,3,3,9.4596490004649,22,239,3
"3571",35,"No","Non-Travel","Research & Development",1,1,"Life Sciences",3571,"Male",2,"Sales Executive","Married",136100,4,22,2,16,4,13,4,12,3,4,2,2,4,9.81153526970954,20,241,3
"3572",27,"No","Travel_Rarely","Research & Development",7,3,"Life Sciences",3572,"Male",3,"Manufacturing Director","Married",34080,1,24,0,9,2,9,6,8,1,1,2,3,4,9.16164901129943,25,236,3
"3573",54,"No","Travel_Frequently","Research & Development",9,2,"Medical",3573,"Male",2,"Sales Representative","Divorced",29830,7,14,1,33,2,5,1,4,4,3,1,2,3,6.28115243342516,19,0,3
"3574",44,"No","Travel_Rarely","Human Resources",4,4,"Life Sciences",3574,"Male",5,"Laboratory Technician","Married",76320,1,21,0,10,3,10,7,7,1,4,3,3,4,6.012280521262,18,0,3
"3575",19,"Yes","Non-Travel","Sales",2,2,"Other",3575,"Male",3,"Healthcare Representative","Single",98240,1,18,0,1,2,1,0,0,1,2,4,3,3,8.41040966386555,23,222,3
"3576",29,"No","Travel_Rarely","Research & Development",19,4,"Life Sciences",3576,"Male",1,"Manufacturing Director","Divorced",99500,1,20,0,3,3,3,1,2,1,4,3,3,4,7.38125838122605,29,5,3
"3577",54,"No","Travel_Rarely","Research & Development",9,4,"Life Sciences",3577,"Male",2,"Sales Executive","Married",20930,3,19,0,36,2,10,0,9,4,4,3,3,3,7.69635459533608,18,30,3
"3578",31,"No","Travel_Rarely","Research & Development",21,3,"Life Sciences",3578,"Male",2,"Laboratory Technician","Married",99800,1,12,0,6,1,6,0,1,3,1,2,3,3,8.61680028129395,24,231,3
"3579",31,"No","Travel_Rarely","Sales",24,1,"Marketing",3579,"Female",1,"Sales Executive","Single",38940,1,12,0,10,3,10,1,8,3,1,3,4,3,7.3063901179941,35,2,3
"3580",59,"No","Travel_Rarely","Research & Development",3,4,"Technical Degree",3580,"Male",1,"Research Scientist","Single",40510,5,16,3,13,3,6,0,5,3,4,3,3,3,7.37586244541485,32,4,3
"3581",43,"No","Travel_Rarely","Research & Development",11,2,"Life Sciences",3581,"Male",3,"Laboratory Technician","Married",168350,3,17,1,25,3,8,0,7,3,4,3,3,3,6.56778018278018,30,0,3
"3582",49,"No","Travel_Rarely","Sales",14,4,"Life Sciences",3582,"Male",2,"Research Scientist","Married",62300,2,14,0,23,2,1,0,0,1,3,4,2,3,6.68364371980676,31,0,3
"3583",36,"No","Travel_Frequently","Sales",5,2,"Marketing",3583,"Female",1,"Laboratory Technician","Married",47170,1,19,1,12,3,11,0,7,3,2,2,3,3,6.05770742358079,32,0,3
"3584",48,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",3584,"Female",2,"Laboratory Technician","Single",132370,5,13,1,7,2,1,0,0,4,2,2,4,3,6.08417869167869,30,0,3
"3585",27,"No","Travel_Rarely","Research & Development",6,4,"Life Sciences",3585,"Male",2,"Laboratory Technician","Divorced",37550,1,19,0,5,2,5,0,3,1,3,3,3,3,7.98751046025105,22,115,3
"3586",29,"No","Travel_Rarely","Sales",17,4,"Medical",3586,"Male",1,"Laboratory Technician","Divorced",65820,1,19,1,6,3,6,1,0,3,4,3,3,3,8.76720441595442,27,233,3
"3587",48,"No","Travel_Rarely","Sales",1,1,"Marketing",3587,"Male",2,"Manufacturing Director","Single",74060,6,14,2,25,2,1,0,0,4,4,4,3,3,6.17115683584819,18,0,3
"3588",29,"No","Travel_Rarely","Research & Development",3,3,"Technical Degree",3588,"Female",2,"Healthcare Representative","Divorced",48050,3,16,1,9,2,7,1,7,4,4,2,3,3,6.87103672710367,22,0,3
"3589",34,"No","Travel_Rarely","Sales",9,4,"Medical",3589,"Female",2,"Laboratory Technician","Married",27410,0,15,1,2,3,1,0,0,3,3,2,3,3,6.00166901078294,24,0,3
"3590",44,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",3590,"Female",1,"Laboratory Technician","Married",42620,7,18,0,26,2,22,3,10,2,2,3,3,3,7.01806286549708,33,0,3
"3591",33,"No","Travel_Rarely","Research & Development",8,2,"Life Sciences",3591,"Female",2,"Research Scientist","Divorced",161840,0,13,1,10,2,9,0,8,4,3,3,4,3,10.9746958218549,19,242,3
"3592",19,"No","Travel_Rarely","Sales",2,4,"Marketing",3592,"Male",3,"Laboratory Technician","Single",115570,1,22,0,1,0,1,0,1,2,4,3,3,4,10.7721861924686,22,239,3
"3593",23,"No","Travel_Rarely","Sales",2,3,"Medical",3593,"Male",3,"Laboratory Technician","Married",18780,1,13,1,1,2,1,0,1,4,3,3,3,3,7.48085177501153,20,10,3
"3594",25,"Yes","Travel_Frequently","Research & Development",1,1,"Life Sciences",3594,"Male",1,"Manufacturing Director","Single",109320,1,11,1,1,3,1,1,0,3,4,3,3,3,9.21699886621315,16,245,3
"3595",26,"No","Travel_Rarely","Human Resources",9,3,"Life Sciences",3595,"Male",2,"Research Scientist","Single",68110,1,11,1,8,4,8,2,2,3,4,2,3,3,8.7015725047081,25,232,3
"3596",45,"Yes","Travel_Rarely","Human Resources",12,3,"Human Resources",3596,"Male",2,"Laboratory Technician","Single",43060,2,11,2,26,3,24,1,11,1,2,3,3,3,9.92101053639847,29,232,3
"3597",55,"No","Non-Travel","Research & Development",27,3,"Life Sciences",3597,"Female",2,"Manager","Divorced",48590,1,24,1,34,3,33,15,0,4,2,3,4,4,9.58581685499058,25,236,3
"3598",21,"Yes","Travel_Frequently","Research & Development",20,2,"Medical",3598,"Female",4,"Research Scientist","Single",53370,1,14,1,2,2,2,2,2,1,3,1,3,3,7.57468171296296,21,22,3
"3599",46,"No","Travel_Rarely","Research & Development",1,4,"Life Sciences",3599,"Male",1,"Manufacturing Director","Married",23400,2,13,1,26,2,11,0,8,4,2,3,1,3,6.89080447330447,30,0,3
"3600",34,"No","Travel_Rarely","Sales",13,4,"Medical",3600,"Male",3,"Sales Representative","Single",74910,0,14,1,4,3,3,0,2,3,1,3,2,3,8.90358126721763,19,242,3
"3601",51,"No","Travel_Frequently","Research & Development",14,3,"Life Sciences",3601,"Male",2,"Research Director","Divorced",105270,4,14,0,31,3,29,11,10,4,2,2,3,3,11.0167490583804,25,236,3
"3602",59,"No","Travel_Rarely","Research & Development",4,2,"Life Sciences",3602,"Male",2,"Research Scientist","Single",165950,6,21,1,25,2,9,5,4,4,4,2,3,4,6.61148884239888,22,0,3
"3603",34,"No","Travel_Frequently","Sales",14,4,"Medical",3603,"Female",3,"Research Scientist","Divorced",88340,4,13,1,15,1,11,5,10,3,2,4,3,3,6.78461204875762,24,0,3
"3604",28,"No","Travel_Frequently","Research & Development",2,3,"Other",3604,"Female",1,"Manager","Single",55770,0,19,0,5,3,4,0,2,4,3,2,3,3,10.4113066285169,28,233,3
"3605",44,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",3605,"Male",2,"Research Scientist","Divorced",47070,1,17,0,26,4,25,14,13,3,1,2,1,3,7.80024797329518,28,61,3
"3606",34,"No","Travel_Frequently","Sales",1,3,"Life Sciences",3606,"Male",2,"Sales Executive","Married",24000,4,18,1,14,3,10,1,8,3,2,4,3,3,7.50287301587302,16,4,3
"3607",35,"No","Travel_Rarely","Research & Development",9,3,"Life Sciences",3607,"Male",4,"Healthcare Representative","Married",98240,0,19,0,4,2,3,2,2,3,3,3,3,3,10.4862994754411,28,233,3
"3608",42,"No","Travel_Rarely","Research & Development",23,4,"Life Sciences",3608,"Female",1,"Manager","Married",64470,6,13,0,18,3,1,0,0,2,2,3,3,3,9.39362794612795,30,231,4
"3609",43,"No","Travel_Rarely","Research & Development",7,2,"Medical",3609,"Female",1,"Laboratory Technician","Single",195020,3,18,2,23,3,21,15,17,4,4,4,4,3,6.40027296777297,30,0,3
"3610",36,"No","Travel_Rarely","Research & Development",2,4,"Medical",3610,"Male",1,"Healthcare Representative","Single",27250,9,21,1,18,4,16,5,12,3,2,3,2,4,10.6067115839243,26,235,3
"3611",44,"Yes","Travel_Rarely","Research & Development",21,4,"Life Sciences",3611,"Female",2,"Laboratory Technician","Married",62720,1,19,1,10,3,10,0,5,1,4,3,3,3,6.00089268755935,27,0,3
"3612",28,"No","Travel_Frequently","Research & Development",2,3,"Life Sciences",3612,"Female",2,"Sales Representative","Married",21270,1,14,0,2,3,2,2,2,4,4,3,3,3,9.69359821847164,24,237,3
"3613",51,"No","Travel_Frequently","Sales",21,4,"Medical",3613,"Male",2,"Research Scientist","Single",182000,0,17,0,8,3,7,7,7,2,3,2,3,3,6.9886123294347,33,0,4
"3614",30,"No","Non-Travel","Research & Development",2,4,"Other",3614,"Male",1,"Research Scientist","Single",20960,7,11,3,10,2,8,1,7,3,3,3,3,3,9.52328703703704,27,234,3
"3615",29,"Yes","Travel_Rarely","Research & Development",29,4,"Technical Degree",3615,"Female",1,"Sales Representative","Divorced",28860,3,13,0,10,4,7,7,7,2,3,3,3,3,8.41543107422775,20,218,3
"3616",28,"No","Travel_Rarely","Sales",1,4,"Life Sciences",3616,"Female",2,"Sales Representative","Single",20330,2,15,1,5,5,3,1,2,4,1,2,3,3,6.85319737458978,24,0,3
"3617",25,"No","Travel_Rarely","Research & Development",18,2,"Life Sciences",3617,"Male",1,"Research Scientist","Single",36220,1,25,0,2,0,2,2,1,4,2,2,3,4,8.02329699953118,24,127,3
"3618",32,"No","Travel_Rarely","Research & Development",10,4,"Other",3618,"Female",1,"Sales Executive","Married",42330,1,11,0,10,5,10,0,8,3,4,4,3,3,6.81001223690651,34,0,4
"3619",45,"No","Travel_Frequently","Research & Development",19,3,"Medical",3619,"Male",3,"Laboratory Technician","Single",36810,3,17,1,22,2,0,0,0,2,2,3,3,3,6.00556850282486,25,0,3
"3620",39,"No","Travel_Rarely","Sales",29,1,"Marketing",3620,"Female",1,"Laboratory Technician","Divorced",54600,6,13,2,21,3,19,15,2,3,2,3,3,3,8.4091690821256,31,215,3
"3621",58,"No","Travel_Rarely","Research & Development",27,3,"Other",3621,"Male",2,"Laboratory Technician","Divorced",21870,1,18,1,2,1,2,2,2,1,3,3,1,3,5.99651125795399,34,0,4
"3622",32,"Yes","Travel_Rarely","Research & Development",5,3,"Technical Degree",3622,"Female",1,"Sales Executive","Married",96020,1,13,1,10,3,10,1,1,4,3,3,3,3,6.469036643026,26,0,4
"3623",39,"Yes","Travel_Rarely","Research & Development",18,2,"Life Sciences",3623,"Male",2,"Laboratory Technician","Single",28360,0,20,0,6,3,5,0,3,3,1,3,2,4,7.7087741046832,19,41,3
"3624",30,"No","Travel_Rarely","Sales",9,1,"Marketing",3624,"Male",4,"Research Director","Married",40890,0,18,0,10,2,9,6,7,1,4,3,4,3,6.2037966954023,29,0,3
"3625",36,"No","Travel_Rarely","Sales",1,3,"Marketing",3625,"Male",2,"Sales Executive","Married",166270,3,12,0,10,5,7,1,7,4,3,3,2,3,6.69396011396011,27,0,3
"3626",46,"No","Travel_Rarely","Sales",4,3,"Medical",3626,"Male",1,"Research Scientist","Single",26190,6,12,1,10,3,7,5,7,4,1,4,2,3,7.70104575163399,23,38,3
"3627",28,"No","Non-Travel","Research & Development",1,3,"Medical",3627,"Male",5,"Sales Executive","Married",56790,0,13,0,10,2,9,7,5,3,4,3,2,3,8.00376465072668,24,120,3
"3628",50,"No","Travel_Rarely","Research & Development",20,2,"Medical",3628,"Female",5,"Laboratory Technician","Married",154020,4,21,0,25,3,3,1,2,4,1,3,2,4,10.3892543859649,14,247,3
"3629",40,"Yes","Travel_Rarely","Sales",8,1,"Other",3629,"Male",1,"Laboratory Technician","Single",59850,2,13,3,9,1,5,1,0,4,2,3,2,3,9.79205054840248,28,233,3
"3630",52,"Yes","Travel_Rarely","Research & Development",3,2,"Technical Degree",3630,"Male",3,"Laboratory Technician","Single",25790,9,19,1,10,1,8,7,7,2,2,2,3,3,10.0458500238436,28,233,3
"3631",30,"No","Travel_Rarely","Research & Development",6,4,"Medical",3631,"Female",1,"Sales Executive","Married",30410,1,11,1,9,2,9,0,8,2,1,3,2,3,10.3664125295508,26,235,3
"3632",39,"No","Travel_Rarely","Research & Development",26,1,"Medical",3632,"Male",2,"Healthcare Representative","Single",34470,0,14,0,9,5,8,1,7,1,3,3,3,3,5.98308013765978,35,0,3
"3633",31,"No","Non-Travel","Research & Development",1,2,"Medical",3633,"Male",1,"Sales Executive","Divorced",195130,1,12,1,10,1,10,9,6,4,3,2,2,3,10.1145117845118,30,231,4
"3634",41,"No","Non-Travel","Sales",6,3,"Life Sciences",3634,"Female",1,"Research Director","Single",27730,1,11,0,19,3,19,11,9,3,2,3,3,3,7.79622335600907,16,66,3
"3635",31,"Yes","Travel_Frequently","Research & Development",3,1,"Life Sciences",3635,"Male",1,"Sales Executive","Single",71040,1,14,1,3,3,3,2,2,4,2,4,3,3,9.07639492753623,31,230,3
"3636",44,"Yes","Travel_Rarely","Sales",5,3,"Life Sciences",3636,"Male",1,"Laboratory Technician","Married",63220,4,11,1,10,2,3,1,2,1,1,4,3,3,6.02593151340996,29,0,3
"3637",42,"No","Non-Travel","Research & Development",4,3,"Life Sciences",3637,"Male",2,"Laboratory Technician","Married",20830,0,12,2,21,3,20,2,10,3,3,2,2,3,9.69656382978723,26,235,3
"3638",55,"No","Travel_Rarely","Sales",11,3,"Technical Degree",3638,"Male",2,"Manufacturing Director","Married",83810,4,15,1,23,3,19,9,11,4,3,3,3,3,6.59241363211951,23,0,3
"3639",56,"No","Travel_Rarely","Sales",3,2,"Medical",3639,"Female",3,"Manufacturing Director","Single",26910,6,16,1,36,6,7,7,7,4,2,3,3,3,7.95434376516254,32,103,4
"3640",40,"No","Non-Travel","Research & Development",1,1,"Life Sciences",3640,"Male",1,"Laboratory Technician","Divorced",42860,9,15,0,6,6,4,0,0,3,3,3,3,3,7.24298902894491,23,1,4
"3641",34,"No","Travel_Rarely","Research & Development",3,2,"Technical Degree",3641,"Male",2,"Research Director","Divorced",26590,0,24,3,10,2,9,1,6,4,4,2,3,4,7.40742337164751,29,3,4
"3642",40,"No","Travel_Rarely","Sales",4,3,"Medical",3642,"Male",2,"Sales Executive","Single",94340,1,13,1,9,3,9,8,8,3,4,3,2,3,6.01123737373737,30,0,3
"3643",41,"No","Travel_Frequently","Sales",1,4,"Other",3643,"Female",2,"Healthcare Representative","Divorced",55610,0,11,0,10,2,9,1,7,3,1,3,2,3,7.69289073305671,20,32,3
"3644",35,"No","Travel_Frequently","Sales",1,2,"Technical Degree",3644,"Male",2,"Manager","Single",66460,1,13,1,9,2,9,1,1,3,3,3,2,3,9.53671522131888,15,246,3
"3645",51,"No","Travel_Rarely","Sales",18,2,"Life Sciences",3645,"Male",4,"Manufacturing Director","Divorced",77250,1,13,1,33,2,33,0,10,3,2,3,3,3,9.52057475158085,15,246,3
"3646",38,"No","Travel_Rarely","Sales",2,4,"Life Sciences",3646,"Female",1,"Research Scientist","Divorced",107250,3,18,0,11,5,7,1,7,2,1,3,2,3,6.60203779599271,17,0,3
"3647",34,"No","Travel_Rarely","Sales",4,3,"Life Sciences",3647,"Male",2,"Research Scientist","Single",88470,1,16,0,10,3,10,9,6,3,1,4,4,3,7.22066520467836,33,1,3
"3648",25,"No","Travel_Rarely","Research & Development",6,2,"Medical",3648,"Female",4,"Research Scientist","Married",20450,3,19,0,7,3,3,1,2,4,4,2,3,3,6.35966849565615,18,0,3
"3649",58,"Yes","Travel_Rarely","Sales",1,4,"Technical Degree",3649,"Male",2,"Sales Executive","Married",10090,7,13,2,31,3,10,5,9,3,1,2,4,3,8.51428014184397,26,228,3
"3650",40,"No","Travel_Rarely","Research & Development",14,4,"Medical",3650,"Female",1,"Research Scientist","Married",33480,3,22,0,7,2,4,0,3,2,2,3,1,4,6.07058437067773,20,0,3
"3651",36,"No","Travel_Frequently","Sales",16,2,"Life Sciences",3651,"Male",1,"Research Scientist","Married",12810,2,11,0,17,2,15,6,13,1,1,2,3,3,6.12546255506608,34,0,3
"3652",48,"No","Travel_Rarely","Research & Development",2,1,"Life Sciences",3652,"Male",2,"Research Scientist","Single",28190,1,20,0,11,2,10,0,8,4,4,3,2,4,7.61625300625301,30,15,3
"3653",27,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",3653,"Female",2,"Laboratory Technician","Married",48510,8,18,0,5,2,1,0,0,3,4,3,3,3,7.08972340930674,27,1,3
"3654",51,"No","Travel_Rarely","Research & Development",4,1,"Medical",3654,"Female",3,"Manufacturing Director","Single",40280,3,14,0,29,3,5,0,3,4,2,2,3,3,7.49251859600186,22,10,3
"3656",35,"No","Travel_Rarely","Research & Development",1,4,"Other",3656,"Female",2,"Research Director","Married",81200,0,13,0,10,2,9,0,0,4,4,3,2,3,7.24459990855053,18,3,3
"3657",27,"No","Travel_Frequently","Research & Development",26,4,"Medical",3657,"Female",1,"Research Director","Single",46470,3,17,0,8,3,6,0,0,4,4,3,4,3,7.42501162250116,22,3,3
"3658",55,"Yes","Travel_Rarely","Research & Development",19,3,"Technical Degree",3658,"Male",1,"Human Resources","Single",46800,6,14,3,24,0,19,3,8,1,3,2,4,3,8.66740934449093,22,236,3
"3659",56,"No","Travel_Rarely","Research & Development",24,4,"Life Sciences",3659,"Male",2,"Laboratory Technician","Married",32210,4,15,2,33,2,19,15,9,4,2,3,3,3,10.390627394636,29,232,3
"3660",34,"No","Non-Travel","Sales",1,2,"Life Sciences",3660,"Male",2,"Research Scientist","Divorced",86210,1,17,1,5,1,5,0,0,1,3,3,3,3,6.37850215517241,29,0,3
"3661",40,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",3661,"Male",2,"Sales Executive","Divorced",45770,5,11,1,15,3,12,11,8,2,3,3,2,3,6.52712207916071,28,0,3
"3662",34,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",3662,"Male",1,"Research Scientist","Married",45530,4,18,1,10,2,8,7,7,2,3,3,4,3,7.17660830999066,23,1,3
"3663",31,"Yes","Travel_Frequently","Research & Development",2,2,"Medical",3663,"Female",2,"Manufacturing Director","Single",53960,7,17,1,3,2,1,0,0,3,4,4,1,3,7.71082418838592,18,38,3
"3664",35,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",3664,"Male",1,"Manufacturing Director","Married",67960,0,13,0,5,2,4,3,2,4,3,2,3,3,9.07631083562902,19,242,3
"3665",38,"No","Travel_Frequently","Research & Development",7,3,"Medical",3665,"Female",2,"Sales Representative","Divorced",76250,1,15,0,4,2,4,0,3,4,3,3,2,3,6.44564388656439,22,0,3
"3666",34,"No","Travel_Rarely","Research & Development",10,4,"Other",3666,"Female",2,"Laboratory Technician","Single",74120,1,24,0,14,4,14,4,11,3,4,4,3,4,7.89764239028945,23,89,3
"3667",28,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",3667,"Female",2,"Healthcare Representative","Married",111590,1,12,0,5,2,5,0,4,3,1,3,3,3,6.68385570304818,35,0,4
"3668",31,"Yes","Travel_Rarely","Research & Development",15,2,"Life Sciences",3668,"Male",2,"Sales Executive","Married",49600,1,15,0,10,3,10,6,7,4,3,2,2,3,10.9036951164875,13,248,3
"3669",39,"No","Travel_Rarely","Research & Development",17,4,"Technical Degree",3669,"Female",2,"Healthcare Representative","Married",104750,3,11,1,8,3,5,1,4,1,4,4,3,3,10.2876275631855,28,233,3
"3670",51,"No","Travel_Frequently","Research & Development",20,3,"Medical",3670,"Male",2,"Sales Executive","Married",148140,2,11,1,14,2,4,3,2,2,2,3,2,3,7.07388399412628,34,0,3
"3671",41,"No","Travel_Frequently","Research & Development",1,3,"Life Sciences",3671,"Male",4,"Sales Executive","Divorced",191410,3,12,1,12,2,6,3,3,4,4,2,3,3,10.689122983871,13,248,3
"3672",37,"No","Travel_Rarely","Research & Development",2,2,"Medical",3672,"Female",1,"Healthcare Representative","Married",54050,7,15,0,8,3,6,1,3,3,3,3,4,3,10.3991343937298,20,241,3
"3673",33,"No","Travel_Frequently","Research & Development",2,3,"Medical",3673,"Female",1,"Sales Executive","Married",87930,6,17,0,8,2,5,1,2,2,4,4,3,3,7.78347768073751,32,48,3
"3674",32,"No","Travel_Rarely","Research & Development",1,4,"Medical",3674,"Male",5,"Research Director","Married",191890,0,12,1,4,3,3,1,2,3,2,2,3,3,10.3833389563653,14,247,3
"3675",39,"No","Non-Travel","Research & Development",29,2,"Life Sciences",3675,"Male",2,"Sales Executive","Married",38750,3,15,0,13,3,6,0,5,3,3,3,3,3,6.58582605531296,32,0,3
"3676",25,"No","Travel_Rarely","Research & Development",7,4,"Life Sciences",3676,"Male",1,"Sales Executive","Married",22160,2,13,3,6,2,3,1,2,1,3,2,2,3,7.1940625,21,1,3
"3677",52,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences",3677,"Male",2,"Sales Executive","Married",117130,2,14,0,24,2,5,0,2,4,3,2,3,3,9.14380866858238,29,232,3
"3678",43,"No","Travel_Rarely","Research & Development",2,2,"Medical",3678,"Male",1,"Laboratory Technician","Single",78610,1,14,2,20,1,20,1,8,1,3,1,3,3,9.66424850161365,20,241,3
"3679",27,"No","Travel_Rarely","Research & Development",2,4,"Life Sciences",3679,"Male",1,"Human Resources","Married",37080,1,16,2,6,2,6,4,4,4,4,3,3,3,10.299616620753,19,242,3
"3680",27,"Yes","Travel_Rarely","Research & Development",2,5,"Life Sciences",3680,"Female",1,"Research Scientist","Single",137700,1,18,1,8,3,8,7,7,4,3,3,4,3,10.011850302185,22,239,3
"3681",26,"No","Travel_Rarely","Research & Development",2,2,"Other",3681,"Male",3,"Laboratory Technician","Single",53040,0,20,1,5,2,4,1,1,1,4,3,3,4,6.27929861111111,21,0,3
"3683",52,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",3683,"Female",1,"Healthcare Representative","Married",27590,9,18,1,12,6,5,0,4,3,1,1,3,3,6.48004710144928,31,0,3
"3684",37,"No","Travel_Rarely","Research & Development",20,5,"Life Sciences",3684,"Male",2,"Manager","Single",68040,4,13,1,8,1,3,0,2,1,3,3,3,3,7.52473290598291,27,12,3
"3685",35,"No","Travel_Frequently","Research & Development",6,4,"Medical",3685,"Female",2,"Research Director","Single",61420,2,15,1,10,2,2,2,2,3,4,3,3,3,7.71517730496454,26,45,3
"3686",25,"No","Travel_Rarely","Research & Development",1,4,"Medical",3686,"Male",2,"Sales Executive","Married",25000,4,14,2,7,2,3,0,2,1,4,2,1,3,8.00537623066104,24,113,3
"3687",26,"No","Travel_Rarely","Research & Development",29,4,"Life Sciences",3687,"Male",1,"Research Scientist","Single",63890,0,22,0,8,2,7,0,7,3,1,3,2,4,6.80683473389356,23,0,3
"3688",29,"No","Travel_Rarely","Sales",9,3,"Life Sciences",3688,"Male",1,"Laboratory Technician","Single",111030,1,12,0,10,5,10,0,9,2,1,2,2,3,6.21704802259887,25,0,3
"3689",49,"Yes","Travel_Frequently","Sales",6,5,"Medical",3689,"Female",2,"Healthcare Representative","Single",23420,3,18,0,20,2,4,1,3,1,1,3,3,3,7.14696524718551,34,1,3
"3690",29,"Yes","Travel_Frequently","Sales",3,2,"Marketing",3690,"Female",2,"Laboratory Technician","Single",68110,0,15,1,9,2,8,7,7,3,4,3,3,3,8.60672268907563,23,235,3
